"","AE-num","Total Tissue","Total SR Tissue","divided","logscaled_tissue","logscaled_tissue_sr","logscaled_tissue_std","logscaled_tissue_sr_std"
"1421","AE2964",316772549,31443490,0.0992620418002192,19.5736945632663,17.2637025244537,-0.369629263449064,-2.39487093581643
"1422","AE2967",400952911,238129393,0.593908627340032,19.8093545494478,19.288324751969,-0.00209453873154705,-0.370248708301127
"1423","AE2968",438005050,242781934,0.554290262178484,19.8977409979546,19.307674207462,0.135752745175492,-0.350899252808152
"1424","AE2969",189337053,95583539,0.504832717555818,19.0590393339511,18.3755111770034,-1.17228427118159,-1.28306228326675
"1425","AE297",394038915,129681596,0.329108600859892,19.7919602314204,18.6805927425337,-0.0292226735984531,-0.977980717736433
"1426","AE2970",222305316,143184359,0.6440887765365,19.2195622922787,18.779643581665,-0.921933067077139,-0.87892987860515
"1427","AE2971",246274916,119403744,0.484839243636165,19.3219590146238,18.5980211152151,-0.762235395152075,-1.06055234505508
"1428","AE2972",381389382,186413897,0.488775791351213,19.7593314112045,19.0434800121577,-0.0801104999546044,-0.615093448112433
"1429","AE2974",1288231118,427604756,0.331931708546106,20.9765358879722,19.8737098595977,1.81823855599889,0.215136399327579
"1430","AE2975",385761364,208961452,0.541685797232924,19.7707295082681,19.1576603527265,-0.0623340562975843,-0.50091310754365
"1431","AE2976",164822318,8286915,0.0502778695297805,18.9203785910278,15.9301883227495,-1.38853921885086,-3.72838513752067
"1432","AE2977",567791482,238116088,0.419372420243529,20.1572648001294,19.2882688774231,0.540505417597707,-0.370304582847067
"1433","AE2978",392793104,180815476,0.460332613171335,19.7887935782823,19.0129875996042,-0.0341613779081438,-0.645585860665922
"1434","AE298",220800146,68699520,0.311138924699805,19.2127685335989,18.0452527702686,-0.932528596113076,-1.61332069000156
"1435","AE2980",565176671,319830592,0.565894893421742,20.1526489322681,19.5833020135764,0.5333065216323,-0.0752714466937734
"1436","AE2982",234644817,105711898,0.450518785590734,19.2735835117443,18.4762280083656,-0.837681708384986,-1.18234545190455
"1437","AE2984",411794644,226470268,0.549959236478073,19.8360353461596,19.2381242271629,0.0395167650523615,-0.42044923310725
